news_headline,news_article,news_category
"Absolutely not, no one has: Adar on if there's enough COVID-19 vaccine for all","During an interview, Serum Institute of India's CEO Adar Poonawalla said, ""Do we have enough vaccines to cover everybody? Absolutely not. Nobody in the world has it. No country has it."" He stated that his company has a capacity of 60-70 million doses currently that he hopes to ramp up in the coming months with government's proposal and bank borrowings.",business
Absolutely untrue: OYO Founder on text claiming OYO filed for bankruptcy,"OYO Founder Ritesh Agarwal refuted the claims made in a viral PDF and text message that said OYO filed for bankruptcy. ""This is absolutely untrue and inaccurate. A claimant is seeking ₹16 lakh from OYO's subsidiary leading to a petition at NCLT,"" Agarwal explained. ""OYO has paid that under protest and the amount is already banked by claimant,"" he added.",business
"'Vivad se Vishwas' solved 1.48L legacy disputes, ₹54K cr recovered: Govt","Centre's tax resolution 'Vivad Se Vishwas' scheme solved 1.48 lakh legacy disputes and recovered ₹54K crore under litigation, Central Board of Direct Taxes (CBDT) said. ""The scheme has been successful...its objective was to reduce pending income tax litigation...provide taxpayers peace of mind,"" it added. The scheme was started on March 17, 2020, and closed on March 31, 2021.",business
"RBI extends NEFT, RTGS money transfer facilities beyond banks","The Reserve Bank of India (RBI) has extended the National Electronic Funds Transfer (NEFT) and Real-Time Gross Settlement (RTGS) facilities to digital payments intermediaries. Only banks were allowed to use RTGS and NEFT facilities till now. Meanwhile, the RBI kept rates unchanged, saying it will continue with its accommodative stance to mitigate the impact of the pandemic.",business
What are the key takeaways from RBI's Monetary Policy announcement?,"RBI Governor Shaktikanta Das on Wednesday announced that the Monetary Policy Committee (MPC) decided to keep repo rate and reverse repo rate unchanged at 4% and 3.35%, respectively. The MPC maintained the GDP growth outlook for FY22 at 10.5%. The RBI doubled payments bank balance limit to ₹2 lakh and extended NEFT and RTGS facilities to non-bank payment system operators.",business
Trump falls nearly 300 spots on Forbes' Billionaires List,"Former US President Donald Trump dropped nearly 300 spots on Forbes' Billionaires List, which was released on Tuesday. Trump was ranked 1,001 in 2020 and now holds the 1,299th place. As per Forbes, Trump, with $2.4 billion wealth, has actually grown richer since this time last year, but others on the list saw their fortunes expand even more.",business
"Goldman-backed ReNew to invest ₹67,000 cr on India's green push","One of India's biggest renewable energy firms ReNew Power is planning to invest $9 billion (around ₹67,000 crore) in wind and solar projects through 2025 amid a government-backed effort to reduce emissions. The company, which is backed by Goldman Sachs Group, aims to more than triple its renewable power capacity to 18.5 gigawatts by 2025, Chairman Sumant Sinha said.",business
Who is the 18-year-old German named world's youngest billionaire by Forbes?,"Forbes has named Germany's 18-year-old Kevin David Lehmann as the world's youngest billionaire with a net worth of $3.3 billion. Kevin's father, Guenther Lehmann, had transferred a 50% stake in his drugstore chain 'dm-drogerie markt' to Kevin when he was 14. The stake remained under trusteeship until Kevin's 18th birthday, which was in September 2020.
",business
"RBI announces ₹50,000-cr liquidity support for NABARD, NHB, SIDBI","The RBI has announced that it will provide liquidity support of ₹50,000 crore for fresh lending to All India Financial Institutions. RBI Governor Shaktikanta Das said ₹25,000 crore will be given to National Bank for Agriculture and Rural Development (NABARD) and ₹10,000 crore to National Housing Bank (NHB). Meanwhile, Small Industries Development Bank of India (SIDBI) will get ₹15,000 crore.",business
"IMF sees world economy growing by 6% in 2021, fastest pace since 1976","The International Monetary Fund (IMF) raised its 2021 global growth forecast from 5.5% to 6%, the fastest rate since 1976, amid the COVID-19 pandemic. It expects the US economy, which is the world's biggest, to grow by 6.4% in 2021, the fastest since 1984. The US forecast was raised by 1.3 percentage points from the IMF's earlier projection of 5.1%.",business
India's services activity slows down in March as COVID cases rise,"The pace of expansion of services activity in India slowed in March as authorities imposed fresh restrictions due to a surge in COVID-19 cases, a private monthly survey revealed on Wednesday. The IHS Markit Services Purchasing Managers' Index fell to 54.6 in March from 55.3 in February but stayed above the 50-mark threshold which separates growth from contraction.",business
"Dixon, Bharti Enterprises to form JV to manufacture telecom products","Contract manufacturer of electronic goods Dixon Technologies has said it has ""entered into a Memorandum of Understanding with Bharti Enterprises to form a joint venture (JV)"" to manufacture telecom and networking products. The JV company will manufacture products like set-top boxes, IoT devices and modems for industry players, including Airtel. Dixon will have a majority stake in the company. ",business
Trifecta Capital seeks approval for $200mn late-stage VC fund,Trifecta Capital said it has filed for SEBI approval for a $200 million late-stage venture capital fund for new economy companies that are likely to go public in the next one-three years. Trifecta Leaders Fund-I will invest $15-30 million each in 10 companies for minority stakes through a combination of primary and secondary positions. ,business
Policybazaar plans to file for Mumbai IPO next month: Report,"Policybazaar is planning to file a draft prospectus as soon as next month for its Mumbai initial public offering (IPO), Bloomberg reported. Policybazaar is looking to raise about $500 million from the offering which could value the startup at more than $3.5 billion, the report added. The IPO is expected to involve new stocks and secondary shares from existing shareholders.",business
Surge in COVID cases adds uncertainty to growth outlook: Das,"RBI Governor Shaktikanta Das said that the recent surge in COVID-19 infections has created uncertainty over economic growth recovery. The governor's remarks came after India reported over one lakh COVID-19 cases on April 5, the highest single-day rise in infections since the pandemic began last year. RBI will continue to do ""whatever it takes"" to preserve financial stability, he added.
",business
"ABGUS, HUL set up plant to recycle 40,000L of wastewater in Punjab","The Akhil Bhartiya Gramin Uthan Samiti (ABGUS) with Hindustan Unilever Limited (HUL) inaugurated a water treatment plant in Patiala to recycle 40,000 litres of wastewater for irrigational purposes, rainwater harvesting and groundwater replenishment. ABGUS Chief Functionary and Secretary Rajesh Verma said the project will benefit a total of 2,755 people and around 350 households. ",business
RBI doubles payments bank balance limit to ₹2 lakh,"RBI has announced that small payments banks can now allow individual customers to keep a balance of up to ₹2 lakh. RBI said that the step was taken ""to expand the ability of payments banks to cater to the growing needs of their customers"" and to increase financial inclusion. Payments banks offer deposit service but do not extend loans.
",business
